step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
83,236896,2656,0.02017128636431153,0.84375,0.84375,,,,,,,,,
84,239488,2688,0.025460779786917482,0.78125,0.78125,,,,,,,,,
85,242592,2720,0.020332810399470793,0.875,0.875,,,,,,,,,
86,245184,2752,0.024164061940340844,0.90625,0.90625,,,,,,,,,
87,247520,2784,0.02224384777920777,0.96875,0.96875,,,,,,,,,
88,250112,2816,0.02552193019677316,0.90625,0.90625,,,,,,,,,
89,252704,2848,0.02340373778363437,0.875,0.875,0.02213098060856775,0.96875,0.96875,,,,,,
90,255296,2880,0.023572221663429684,0.9375,0.9375,,,,,,,,,
91,257888,2912,0.026726247260985447,0.90625,0.90625,,,,,,,,,
92,260480,2944,0.021144535794106377,0.90625,0.90625,,,,,,,,,
93,263328,2976,0.018830187506432595,0.96875,0.96875,,,,,,,,,
94,265664,3008,0.028231705428279765,0.84375,0.84375,,,,,,,,,
95,269280,3040,0.016020478538757092,0.875,0.875,,,,,,,,,
96,272128,3072,0.019805295324800447,0.96875,0.96875,,,,,,,,,
97,275488,3104,0.01910013327422316,0.90625,0.90625,0.01950186990128528,1.0,1.0,,,,,,
98,278080,3136,0.02361546609018251,0.84375,0.84375,,,,,,,,,
99,281696,3168,0.01861054177655149,0.84375,0.84375,,,,,,,,,
100,284544,3200,0.021189917398973405,0.90625,0.90625,,,,,,,,,
101,287904,3232,0.01648085762549167,0.875,0.875,,,,,,,,,
102,290496,3264,0.02059335285968382,0.875,0.875,,,,,,,,,
103,293344,3296,0.0218135713972944,0.84375,0.84375,,,,,,,,,
104,295936,3328,0.02330587909779274,0.875,0.875,,,,,,,,,
105,298528,3360,0.022975544941373917,0.9375,0.9375,0.023804297626412226,0.9375,0.9375,,,,,,
106,304960,3392,0.010197462512322543,0.9375,0.9375,,,,,,,,,
107,307296,3424,0.022005318159139052,0.875,0.875,,,,,,,,,
108,310656,3456,0.016556781139202646,1.0,1.0,,,,,,,,,
109,312992,3488,0.02944982040955918,0.84375,0.84375,,,,,,,,,
110,316096,3520,0.020220912257082283,0.84375,0.84375,,,,,,,,,
111,319200,3552,0.01971634403307168,0.84375,0.84375,,,,,,,,,
112,321536,3584,0.02377142487325184,0.84375,0.84375,,,,,,,,,
113,324384,3616,0.019818655166793223,0.9375,0.9375,0.015368645973918463,0.96875,0.96875,,,,,,
114,326976,3648,0.019432026573858792,0.90625,0.90625,,,,,,,,,
115,329568,3680,0.02160657385185277,0.90625,0.90625,,,,,,,,,
116,332160,3712,0.023048732609404682,0.90625,0.90625,,,,,,,,,
117,335520,3744,0.01925534066366269,0.96875,0.96875,,,,,,,,,
118,339136,3776,0.014803869506076728,0.96875,0.96875,,,,,,,,,
119,341472,3808,0.024725903891448353,0.96875,0.96875,,,,,,,,,
120,344064,3840,0.022456745184576587,0.90625,0.90625,,,,,,,,,
121,346656,3872,0.02371920405717492,0.9375,0.9375,0.019162200820118255,0.96875,0.96875,,,,,,
122,350272,3904,0.015693869991166655,0.875,0.875,,,,,,,,,
123,352608,3936,0.020798439129723137,0.875,0.875,,,,,,,,,
124,355456,3968,0.019535993424818075,1.0,1.0,,,,,,,,,
125,358560,4000,0.01858325690440495,0.9375,0.9375,,,,,,,,,
126,361152,4032,0.02203676129701762,0.96875,0.96875,,,,,,,,,
127,364256,4064,0.016856344034821124,0.9375,0.9375,,,,,,,,,
128,366592,4096,0.026820826958964844,0.9375,0.9375,,,,,,,,,
129,368928,4128,0.02479579224669768,0.96875,0.96875,0.018026393619243256,1.0,1.0,,,,,,
130,371264,4160,0.02332917499173466,0.96875,0.96875,,,,,,,,,
131,373856,4192,0.02319608279858855,0.875,0.875,,,,,,,,,
132,376448,4224,0.02219454456459312,0.875,0.875,,,,,,,,,
133,379040,4256,0.020684839685612702,0.9375,0.9375,,,,,,,,,
134,381376,4288,0.024336232823395046,0.96875,0.96875,,,,,,,,,
135,383968,4320,0.021421080033517795,0.9375,0.9375,,,,,,,,,
136,386560,4352,0.02266094055601724,0.84375,0.84375,,,,,,,,,
137,389664,4384,0.01798247267504711,0.9375,0.9375,0.024281930218288127,1.0,1.0,,,,,,
138,392512,4416,0.023559747375860064,0.9375,0.9375,,,,,,,,,
